dim_0,dim_1
87959.265625,166951.078125
78706.875,163641.90625
167693.015625,378787.125
94469.0859375,169199.609375
130998.4375,272219.65625
206254.28125,465933.1875
221643.71875,540097.5
166567.5625,401225.15625
228460.28125,562403.125
162789.09375,364601.21875
153488.625,326297.0625
202246.828125,478173.3125
121860.703125,264975.75
153503.1875,334393.625
226333.65625,533449.5
227287.640625,549951.0625
126543.367188,269189.46875
129683.96875,263219.375
200971.71875,472419.8125
144796.4375,308246.875
