dim_0,dim_1
101589.742188,198168.59375
138765.4375,298148.5
133141.5,277894.59375
154589.75,326136.5
149212.21875,340122.9375
124449.078125,271228.03125
82717.921875,164445.90625
235390.96875,551613.5625
141168.0,330527.3125
84616.7890625,164041.421875
110711.734375,248457.40625
190561.828125,479547.84375
198126.484375,489971.84375
130608.859375,292708.5625
131247.203125,287354.25
231426.125,547544.875
236554.140625,597853.9375
232766.4375,585208.8125
125762.140625,268370.03125
241422.046875,607194.1875
